# META: {"workflow_id": 9, "user_id": 33, "num_abstract": 50, "connector_pattern": "1000100100010000000100110111010100011110001011000", "abstract_services": {"a_0": 122, "a_1": 102, "a_2": 117, "a_3": 107, "a_4": 90, "a_5": 90, "a_6": 98, "a_7": 123, "a_8": 113, "a_9": 91, "a_10": 108, "a_11": 118, "a_12": 98, "a_13": 102, "a_14": 117, "a_15": 106, "a_16": 115, "a_17": 123, "a_18": 123, "a_19": 108, "a_20": 107, "a_21": 120, "a_22": 98, "a_23": 104, "a_24": 91, "a_25": 93, "a_26": 120, "a_27": 110, "a_28": 100, "a_29": 107, "a_30": 114, "a_31": 93, "a_32": 112, "a_33": 116, "a_34": 93, "a_35": 92, "a_36": 101, "a_37": 90, "a_38": 112, "a_39": 98, "a_40": 101, "a_41": 113, "a_42": 102, "a_43": 116, "a_44": 104, "a_45": 108, "a_46": 108, "a_47": 104, "a_48": 89, "a_49": 101}, "total_latency": 6.237, "total_throughput": 1.675}
abstract_service,concrete_service,latency,throughput
a_0,2561,0.13,23.076
a_0,5641,0.045,155.555
a_0,5642,0.054,37.037
a_0,5456,0.559,3.577
a_0,4500,0.112,26.785
a_0,5413,0.111,27.027
a_0,2050,0.137,14.598
a_0,3691,0.089,33.707
a_0,1253,0.639,6.259
a_0,134,0.151,19.867
a_0,3657,0.043,69.767
a_0,2018,0.254,7.874
a_0,5401,0.155,77.419
a_0,5212,0.334,11.976
a_0,2722,0.183,27.322
a_0,2916,0.711,71.729
a_0,1766,0.435,4.597
a_0,4775,0.344,875.0
a_0,5551,0.137,58.394
a_0,852,0.54,7.407
a_0,3744,0.143,20.979
a_0,935,0.216,27.777
a_0,4767,0.366,5.464
a_0,4438,0.063,47.619
a_0,4205,0.167,17.964
a_0,5652,0.041,97.56
a_0,4272,0.064,46.875
a_0,1380,0.484,16.528
a_0,3434,0.241,16.597
a_0,3447,0.163,18.404
a_0,5372,0.083,36.144
a_0,5640,0.073,54.794
a_0,3592,0.107,28.037
a_0,3341,0.268,485.074
a_0,4280,0.086,46.511
a_0,5234,0.317,12.618
a_0,5360,0.147,13.605
a_0,3197,0.199,15.075
a_0,2719,0.179,27.932
a_0,705,1.098,1.821
a_0,5249,0.328,12.195
a_0,838,0.722,4.155
a_0,2138,0.38,7.894
a_0,2267,0.171,11.695
a_0,3091,0.505,5.94
a_0,308,0.14,49.999
a_0,5667,0.101,39.603
a_0,2763,0.188,26.595
a_0,4997,1.259,2.382
a_0,3538,0.04,75.0
a_0,1831,0.41,58.536
a_0,1216,0.682,4.398
a_0,510,0.342,8.771
a_0,2031,0.382,7.853
a_0,1839,0.322,9.316
a_0,1582,0.407,7.371
a_0,1666,0.475,10.526
a_0,4313,0.212,198.113
a_0,4611,0.16,18.75
a_0,4445,0.127,31.496
a_0,379,0.206,33.98
a_0,4431,0.076,52.631
a_0,3594,0.052,57.692
a_0,1610,0.386,25.906
a_0,441,13.074,0.611
a_0,2204,0.451,8.869
a_0,3205,0.575,6.956
a_0,5764,0.076,26.315
a_0,969,0.568,3.521
a_0,5407,0.565,14.159
a_0,4589,0.201,9.95
a_0,4451,0.126,31.746
a_0,3775,0.891,3.367
a_0,4815,0.063,63.492
a_0,1439,0.16,12.5
a_0,3877,0.055,72.727
a_0,1602,0.195,15.384
a_0,5090,0.084,35.714
a_0,2479,0.149,67.114
a_0,2299,0.633,6.319
a_0,2600,0.641,4.68
a_0,4340,0.072,27.777
a_0,5312,0.072,583.333
a_0,2841,0.164,30.487
a_0,825,0.642,3.115
a_0,4830,0.471,535.031
a_0,1867,0.438,4.566
a_0,4073,0.168,23.809
a_0,3231,0.237,12.658
a_0,2450,0.289,10.38
a_0,3824,0.118,8.474
a_0,1260,0.153,19.607
a_0,5617,1.306,3.062
a_0,1397,0.202,24.752
a_0,4882,0.535,321.495
a_0,3984,0.09,33.333
a_0,3701,17.089,0.117
a_0,5286,0.147,88.435
a_0,2352,0.362,8.287
a_0,4149,0.031,96.774
a_0,4750,0.186,21.505
a_0,5493,0.079,37.974
a_0,2177,0.145,13.793
a_0,3139,0.52,5.769
a_0,2687,0.346,14.45
a_0,5315,0.38,5.263
a_0,3184,0.194,25.773
a_0,2060,0.487,6.16
a_0,919,0.768,104.166
a_0,3873,0.05,120.0
a_0,4114,0.32,12.5
a_0,3582,0.142,21.126
a_0,2192,0.437,6.864
a_0,4104,0.04,75.0
a_0,1154,0.273,10.989
a_0,2224,0.253,31.62
a_0,5611,0.261,7.662
a_0,989,0.351,5.698
a_0,5230,0.298,13.422
a_0,2646,0.399,10.025
a_0,5609,0.275,21.818
a_0,2390,0.229,34.934
a_1,23,0.233,12.875
a_1,1429,0.654,61.162
a_1,993,3.894,85.772
a_1,1241,0.145,20.689
a_1,5431,15.077,0.132
a_1,87,0.203,14.778
a_1,1176,0.35,8.571
a_1,2612,0.37,32.432
a_1,3941,0.089,44.943
a_1,4045,0.237,21.097
a_1,4674,0.229,13.1
a_1,449,0.138,65.217
a_1,2656,0.607,3.294
a_1,3943,0.06,100.0
a_1,3225,0.258,19.379
a_1,3166,0.21,14.285
a_1,2211,0.957,9.404
a_1,3601,0.036,83.333
a_1,3554,0.073,41.095
a_1,2040,2.665,2.626
a_1,4156,0.102,107.843
a_1,5560,0.282,49.645
a_1,2576,0.308,9.74
a_1,5762,0.15,13.333
a_1,1949,0.134,22.388
a_1,1658,0.136,36.764
a_1,742,0.662,4.531
a_1,3960,0.079,12.658
a_1,685,0.526,3.802
a_1,2799,0.164,30.487
a_1,3243,0.898,20.044
a_1,976,7.065,514.225
a_1,2197,0.44,47.727
