# META: {"workflow_id": 10, "user_id": 33, "num_abstract": 50, "connector_pattern": "0101111000111010001110010001111011011110110001100", "abstract_services": {"a_0": 89, "a_1": 100, "a_2": 113, "a_3": 95, "a_4": 91, "a_5": 99, "a_6": 106, "a_7": 118, "a_8": 120, "a_9": 105, "a_10": 106, "a_11": 86, "a_12": 92, "a_13": 123, "a_14": 97, "a_15": 121, "a_16": 112, "a_17": 108, "a_18": 97, "a_19": 93, "a_20": 123, "a_21": 88, "a_22": 101, "a_23": 118, "a_24": 91, "a_25": 98, "a_26": 122, "a_27": 100, "a_28": 103, "a_29": 120, "a_30": 103, "a_31": 98, "a_32": 91, "a_33": 109, "a_34": 93, "a_35": 113, "a_36": 109, "a_37": 90, "a_38": 94, "a_39": 109, "a_40": 94, "a_41": 99, "a_42": 108, "a_43": 103, "a_44": 123, "a_45": 121, "a_46": 107, "a_47": 106, "a_48": 118, "a_49": 90}, "total_latency": 16.493, "total_throughput": 0.35}
abstract_service,concrete_service,latency,throughput
a_0,3689,0.042,71.428
a_0,3057,0.218,13.761
a_0,5354,0.077,116.883
a_0,5654,0.034,88.235
a_0,659,0.243,8.23
a_0,10,0.371,5.39
a_0,5199,0.719,15.299
a_0,1951,0.153,19.607
a_0,1207,0.371,8.086
a_0,1437,8.715,861.503
a_0,1876,0.264,11.363
a_0,2959,0.121,24.793
a_0,3214,0.256,11.718
a_0,3778,0.281,10.676
a_0,5090,0.084,35.714
a_0,5261,0.201,14.925
a_0,3791,0.123,65.04
a_0,1820,0.313,9.584
a_0,2405,0.159,18.867
a_0,5323,0.189,10.582
a_0,3659,0.106,28.301
a_0,2966,0.115,34.782
a_0,4608,0.28,28.571
a_0,800,2.069,9.183
a_0,4522,0.107,28.037
a_0,5190,0.416,19.23
a_0,4047,0.187,10.695
a_0,1018,0.249,8.032
a_0,827,0.877,10.262
a_0,3794,0.106,75.471
a_0,5379,0.135,22.222
a_0,1484,0.263,7.604
a_0,845,1.56,233.974
a_0,5746,0.12,25.0
a_0,2396,0.371,8.086
a_0,3041,0.106,56.603
a_0,5501,0.277,7.22
a_0,3095,0.315,25.396
a_0,4941,0.222,18.018
a_0,4050,0.069,28.985
a_0,1415,0.326,6.134
a_0,673,0.258,11.627
a_0,3863,0.146,13.698
a_0,2756,0.165,30.303
a_0,4161,0.531,173.258
a_0,2786,0.174,28.735
a_0,5412,0.215,65.116
a_0,2251,0.143,20.979
a_0,3769,0.057,52.631
a_0,1308,0.516,3.875
a_0,5406,0.05,60.0
a_0,2805,0.165,24.242
a_0,2867,0.165,30.303
a_0,2518,0.433,6.928
a_0,5129,0.666,6.006
a_0,38,0.74,60.81
a_0,2823,0.164,24.39
a_0,4039,0.127,31.496
a_0,3543,0.046,65.217
a_0,4078,0.175,22.857
a_0,85,0.26,7.692
a_0,5474,0.13,69.23
a_0,383,0.241,29.045
a_0,3643,0.122,24.59
a_0,4267,0.067,59.701
a_0,1909,1.864,15.557
a_0,3956,0.104,38.461
a_0,802,0.523,5.736
a_0,1188,0.236,12.711
a_0,1440,0.88,85.227
a_0,3959,0.133,7.518
a_0,2469,0.181,16.574
a_0,2764,0.164,24.39
a_0,4809,0.493,4.056
a_0,5289,0.031,64.516
a_0,1895,0.57,5.263
a_0,2627,0.437,4.576
a_0,181,0.436,25.229
a_0,4869,0.152,19.736
a_0,4442,0.126,31.746
a_0,5595,0.145,48.275
a_0,1303,0.533,3.752
a_0,1090,0.131,22.9
a_0,596,0.244,12.295
a_0,4481,0.156,19.23
a_0,709,0.815,6.134
