# META: {"workflow_id": 5, "user_id": 33, "num_abstract": 40, "connector_pattern": "100101101000011011101010000111111100111", "abstract_services": {"a_0": 119, "a_1": 108, "a_2": 117, "a_3": 111, "a_4": 98, "a_5": 121, "a_6": 86, "a_7": 113, "a_8": 97, "a_9": 88, "a_10": 98, "a_11": 103, "a_12": 120, "a_13": 118, "a_14": 112, "a_15": 101, "a_16": 98, "a_17": 120, "a_18": 115, "a_19": 87, "a_20": 106, "a_21": 120, "a_22": 102, "a_23": 111, "a_24": 96, "a_25": 96, "a_26": 92, "a_27": 101, "a_28": 102, "a_29": 103, "a_30": 119, "a_31": 117, "a_32": 109, "a_33": 118, "a_34": 112, "a_35": 95, "a_36": 98, "a_37": 86, "a_38": 101, "a_39": 118}, "total_latency": 6.02, "total_throughput": 1.37}
abstract_service,concrete_service,latency,throughput
a_0,5764,0.076,26.315
a_0,51,0.248,8.064
a_0,3527,0.055,54.545
a_0,2046,3.05,1.311
a_0,4498,0.207,14.492
a_0,3751,0.26,11.538
a_0,2770,0.165,30.303
a_0,5807,0.401,159.6
a_0,506,0.352,53.977
a_0,4500,0.112,26.785
a_0,3002,0.408,9.803
a_0,837,0.475,4.21
a_0,1649,0.157,31.847
a_0,78,0.544,5.514
a_0,1100,0.135,22.222
a_0,2798,0.166,30.12
a_0,655,0.225,8.888
a_0,98,4.74,0.843
a_0,3090,0.298,6.711
a_0,4896,0.198,20.202
a_0,3835,0.15,20.0
a_0,5677,0.093,32.258
a_0,950,0.378,5.291
a_0,243,0.131,53.435
a_0,5034,0.152,32.894
a_0,1499,1.054,2.846
a_0,2536,0.145,20.689
a_0,3355,0.095,831.578
a_0,3166,0.21,14.285
a_0,446,0.497,18.108
a_0,5237,0.455,15.384
a_0,3526,0.063,47.619
a_0,5,0.355,8.45
a_0,2752,0.176,28.409
a_0,5697,0.199,507.537
a_0,87,0.203,14.778
a_0,99,0.991,4.036
a_0,3519,0.076,39.473
a_0,4428,0.064,62.5
a_0,123,0.151,19.867
a_0,5052,0.147,20.408
a_0,2642,0.245,12.244
a_0,601,0.395,17.721
a_0,1682,0.146,27.397
a_0,4772,0.137,14.598
a_0,3396,0.529,15.122
a_0,1366,0.418,9.569
a_0,2512,0.488,6.147
a_0,980,0.374,5.347
a_0,2999,1.949,282.195
a_0,295,0.14,49.999
a_0,733,0.831,4.813
a_0,2818,0.167,29.94
a_0,2560,0.539,5.565
a_0,4157,0.054,37.037
a_0,978,0.556,3.597
a_0,2232,1.366,1.464
a_0,4736,0.522,1.915
a_0,5550,0.275,32.727
a_0,5498,0.066,30.303
a_0,2355,0.678,5.899
a_0,2092,0.597,5.025
a_0,2322,0.321,6.23
a_0,1974,0.268,11.194
a_0,475,0.181,49.723
a_0,3589,0.028,107.142
a_0,5288,0.141,21.276
a_0,3986,0.041,121.951
a_0,2200,0.432,92.592
a_0,2876,0.164,30.487
a_0,1410,0.761,2.628
a_0,1304,0.171,23.391
a_0,2799,0.164,30.487
a_0,2879,0.318,6.289
a_0,4078,0.175,22.857
a_0,2620,0.285,10.526
a_0,30,0.338,8.875
a_0,3112,0.341,11.73
a_0,5268,0.077,38.961
a_0,297,0.153,45.751
a_0,2241,0.439,9.111
a_0,174,0.629,4.769
a_0,5202,0.252,11.904
a_0,5341,0.121,16.528
a_0,2150,0.349,8.595
a_0,17,0.88,10.227
a_0,4778,0.144,20.833
a_0,2805,0.165,24.242
a_0,2525,0.25,8.0
a_0,4920,0.04,50.0
a_0,3057,0.218,13.761
a_0,3631,0.03,100.0
a_0,4951,0.134,14.925
a_0,1701,0.481,511.434
a_0,2125,0.315,88.888
a_0,2863,0.218,22.935
a_0,5295,0.118,42.372
a_0,4429,0.145,282.758
a_0,4660,0.09,22.222
a_0,802,0.523,5.736
a_0,4748,0.183,16.393
a_0,1164,0.196,20.408
a_0,5781,0.101,39.603
a_0,5254,0.265,15.094
a_0,1052,0.501,17.964
a_0,4693,0.12,33.333
a_0,264,0.298,23.489
a_0,204,0.604,8.278
a_0,40,4.868,0.821
a_0,932,0.163,24.539
a_0,1476,0.337,17.804
a_0,5329,0.129,23.255
a_0,678,1.118,1.788
a_0,5377,0.076,92.105
a_0,1381,0.385,7.792
a_0,5823,0.176,22.727
a_0,2278,1.22,379.508
a_0,4535,0.066,45.454
a_0,3587,0.056,53.571
a_1,4661,0.101,49.504
a_1,1905,0.105,200.0
a_1,2986,0.454,17.621
a_1,2279,0.346,8.67
a_1,4679,1.169,6.843
a_1,3674,0.118,25.423
a_1,5164,0.358,13.966
a_1,53,0.578,6.92
a_1,3872,0.064,62.5
a_1,35,0.277,10.83
a_1,896,0.089,33.707
a_1,2643,0.99,78.787
a_1,1951,0.153,19.607
a_1,4344,5.206,0.768
a_1,390,0.138,50.724
a_1,2864,0.165,30.303
a_1,1118,0.401,9.975
a_1,2171,0.767,203.389
a_1,5100,0.358,5.586
a_1,4755,0.581,5.163
a_1,4217,0.085,47.058
a_1,4218,0.079,37.974
a_1,826,1.932,1.552
a_1,125,0.282,10.638
a_1,1925,4.917,0.61
a_1,5453,0.129,23.255
a_1,2293,0.415,12.048
a_1,1385,0.794,6.297
a_1,1934,0.425,7.058
a_1,4757,2.197,0.91
a_1,4178,0.146,75.342
a_1,2119,0.447,6.711
a_1,5184,0.296,10.135
a_1,5765,0.1,20.0
a_1,1353,0.135,22.222
a_1,554,0.16,12.5
a_1,2851,0.166,24.096
a_1,353,0.129,54.263
a_1,3865,0.069,43.478
a_1,5372,0.083,36.144
a_1,1344,0.26,15.384
a_1,2180,0.145,13.793
a_1,2915,0.101,29.702
a_1,287,0.177,39.548
a_1,3120,0.528,132.575
a_1,4221,0.125,32.0
a_1,427,0.187,37.433
a_1,3897,0.038,78.947
a_1,406,0.142,49.295
a_1,5643,0.043,46.511
a_1,604,0.174,22.988
a_1,5175,0.424,94.339
a_1,362,0.132,53.03
a_1,1570,0.141,42.553
a_1,1757,0.474,4.219
a_1,2422,0.948,65.4
a_1,663,0.519,9.633
a_1,1111,0.457,8.752
a_1,3188,0.215,13.953
a_1,1048,0.32,6.25
a_1,1966,0.146,20.547
a_1,2502,0.15,20.0
a_1,992,3.034,110.085
a_1,3401,0.121,33.057
a_1,1101,0.403,49.627
a_1,3671,0.035,85.714
a_1,2398,0.199,15.075
a_1,2704,0.165,24.242
a_1,2235,0.384,7.812
a_1,546,0.059,50.847
a_1,5376,0.235,12.765
a_1,3501,0.216,9.259
a_1,3203,0.207,14.492
a_1,315,0.149,46.979
a_1,282,0.13,53.846
a_1,2020,0.248,40.322
a_1,5076,0.159,25.157
a_1,1430,0.351,8.547
a_1,3786,0.041,73.17
a_1,4948,0.103,29.126
