# META: {"workflow_id": 8, "user_id": 33, "num_abstract": 50, "connector_pattern": "1101101010110011101010001110110101010010000011011", "abstract_services": {"a_0": 111, "a_1": 87, "a_2": 103, "a_3": 113, "a_4": 99, "a_5": 90, "a_6": 108, "a_7": 123, "a_8": 114, "a_9": 111, "a_10": 106, "a_11": 95, "a_12": 105, "a_13": 108, "a_14": 106, "a_15": 108, "a_16": 103, "a_17": 107, "a_18": 113, "a_19": 96, "a_20": 121, "a_21": 95, "a_22": 103, "a_23": 113, "a_24": 117, "a_25": 102, "a_26": 110, "a_27": 107, "a_28": 117, "a_29": 93, "a_30": 100, "a_31": 89, "a_32": 113, "a_33": 108, "a_34": 109, "a_35": 117, "a_36": 107, "a_37": 107, "a_38": 110, "a_39": 95, "a_40": 99, "a_41": 95, "a_42": 102, "a_43": 116, "a_44": 110, "a_45": 107, "a_46": 93, "a_47": 93, "a_48": 93, "a_49": 118}, "total_latency": 15.929, "total_throughput": 0.312}
abstract_service,concrete_service,latency,throughput
a_0,259,0.129,54.263
a_0,5445,0.233,12.875
a_0,4677,0.203,49.261
a_0,3254,0.079,63.291
a_0,1731,0.644,104.037
a_0,4655,0.105,19.047
a_0,4564,0.141,7.092
a_0,2805,0.165,24.242
a_0,732,0.558,3.584
a_0,3587,0.056,53.571
a_0,1006,0.272,7.352
a_0,3172,0.216,13.888
a_0,5392,0.124,32.258
a_0,4493,0.1,50.0
a_0,2714,0.167,29.94
a_0,3141,0.362,8.287
a_0,4761,0.132,22.727
a_0,5420,0.082,24.39
a_0,1946,0.13,23.076
a_0,1424,0.399,15.037
a_0,3624,0.109,27.522
a_0,217,0.937,105.656
a_0,2160,0.352,22.727
a_0,2848,0.178,22.471
a_0,3495,0.153,19.607
a_0,330,0.153,45.751
a_0,671,0.577,6.932
a_0,5171,0.381,10.498
a_0,4813,0.13,23.076
a_0,4920,0.04,50.0
a_0,3428,0.161,24.844
a_0,894,0.181,16.574
a_0,19,0.216,13.888
a_0,576,0.071,42.253
a_0,74,0.631,4.754
a_0,1461,0.545,5.504
a_0,3154,0.274,29.197
a_0,2868,0.172,29.069
a_0,1207,0.371,8.086
a_0,1250,0.591,5.076
a_0,3056,0.28,10.714
a_0,4919,0.131,22.9
a_0,3511,0.045,66.666
a_0,2753,0.165,30.303
a_0,3449,0.167,23.952
a_0,5590,0.175,17.142
a_0,3435,0.175,17.142
a_0,2623,0.548,5.474
a_0,5091,0.141,35.46
a_0,3204,0.206,19.417
a_0,3502,0.197,10.152
a_0,4011,0.076,39.473
a_0,4696,0.156,19.23
a_0,2751,0.159,31.446
a_0,2172,0.143,13.986
a_0,1339,0.453,8.83
a_0,5301,0.133,15.037
a_0,3958,0.137,43.795
a_0,5046,0.214,14.018
a_0,3814,0.045,88.888
a_0,5501,0.277,7.22
a_0,691,0.31,6.451
a_0,4292,0.12,33.333
a_0,4427,0.064,46.875
a_0,5581,0.422,7.109
a_0,4803,7.318,0.819
a_0,5773,0.151,26.49
a_0,1319,0.583,3.43
a_0,3409,0.399,7.518
a_0,5232,1.147,2.615
a_0,4120,0.065,30.769
a_0,4619,0.097,30.927
a_0,337,11.256,0.71
a_0,3557,0.059,50.847
a_0,2862,0.165,30.303
a_0,1588,0.52,5.769
a_0,5390,0.195,10.256
a_0,3388,0.512,15.625
a_0,1210,0.474,12.658
a_0,204,0.604,8.278
a_0,2710,0.168,29.761
a_0,3181,0.218,18.348
a_0,2992,0.111,27.027
a_0,253,0.141,49.645
a_0,2728,0.159,31.446
a_0,2124,0.923,66.088
a_0,4740,0.303,105.61
a_0,1011,0.283,7.067
a_0,2963,0.107,37.383
a_0,1854,0.288,6.944
a_0,5812,0.142,28.169
a_0,2174,0.159,12.578
a_0,3519,0.076,39.473
a_0,5601,0.165,30.303
a_0,4964,0.313,9.584
a_0,3004,0.425,9.411
a_0,158,0.372,333.333
a_0,2118,0.287,13.937
a_0,4592,0.266,11.278
a_0,1602,0.195,15.384
a_0,3562,0.064,46.875
a_0,3930,0.111,54.054
a_0,433,0.195,35.897
a_0,3085,0.414,7.246
a_0,5052,0.147,20.408
a_0,557,0.065,138.461
a_0,4841,0.158,18.987
a_0,4365,0.068,44.117
a_0,3632,0.051,58.823
a_0,1018,0.249,8.032
a_0,2762,0.166,30.12
a_1,4804,0.08,50.0
a_1,4410,0.231,12.987
a_1,73,1.121,21.409
a_1,2948,0.187,21.39
a_1,3101,0.22,18.181
a_1,3110,0.469,14.925
a_1,1230,0.233,38.626
a_1,2866,0.818,6.112
a_1,2198,0.449,48.997
a_1,783,1.471,2.719
a_1,1012,0.268,7.462
a_1,3015,0.169,23.668
a_1,451,11.221,0.712
a_1,1871,1.091,7.332
a_1,5271,0.283,7.067
a_1,3132,0.302,33.112
a_1,1718,0.233,304.721
a_1,4574,0.14,14.285
a_1,1848,0.857,170.361
a_1,328,16.028,0.436
a_1,5818,0.358,117.318
a_1,5790,0.103,38.834
a_1,5718,0.157,643.312
a_1,2303,0.36,5.555
a_1,2820,0.175,28.571
a_1,5411,0.022,45.454
a_1,1046,0.509,7.858
a_1,381,0.189,37.037
a_1,2432,0.675,4.444
a_1,4716,0.2,10.0
a_1,1703,0.195,282.051
a_1,347,0.13,53.846
a_1,545,0.063,47.619
a_1,4126,0.088,45.454
a_1,2481,0.138,72.463
a_1,3074,0.27,7.407
a_1,1788,0.471,10.615
a_1,3977,0.136,36.764
a_1,391,0.15,46.666
a_1,4088,0.131,45.801
a_1,5619,0.156,19.23
a_1,1453,0.533,7.504
a_1,3932,0.327,15.29
a_1,1146,0.232,12.931
a_1,5341,0.121,16.528
a_1,5009,0.071,28.169
a_1,5045,0.248,16.129
a_1,2333,0.195,71.794
a_1,4047,0.187,10.695
a_1,292,0.137,51.094
a_1,3069,0.239,8.368
a_1,3799,0.12,66.666
a_1,1379,0.986,4.056
a_1,1039,0.372,8.064
a_1,5783,0.152,368.421
a_1,559,0.229,17.467
a_1,457,0.241,37.344
a_1,4906,0.862,597.447
a_1,522,0.328,6.097
a_1,5237,0.455,15.384
a_1,3723,0.333,9.009
a_1,4323,0.171,233.918
a_1,394,0.175,40.0
a_1,2384,0.218,36.697
a_1,5798,0.124,137.096
a_1,4500,0.112,26.785
a_1,4508,0.169,11.834
a_1,4002,0.101,19.801
a_1,4432,0.067,44.776
a_1,4519,0.591,79.526
a_1,3200,0.194,20.618
a_1,5116,0.143,20.979
a_1,1441,0.454,165.198
a_1,4732,0.123,97.56
a_1,1607,0.37,27.027
a_1,577,0.196,15.306
a_1,5021,0.189,10.582
a_1,2932,0.241,16.597
a_1,3569,0.071,42.253
a_1,4899,0.208,9.615
a_1,906,0.181,16.574
a_1,1601,0.216,13.888
a_1,639,0.265,52.83
a_1,1466,1.356,6.637
a_1,397,0.718,9.749
a_1,470,0.143,62.937
a_1,4008,0.068,44.117
a_2,4812,3.127,1.279
a_2,1795,0.354,11.299
a_2,1422,0.972,4.115
a_2,1260,0.153,19.607
a_2,5516,0.688,2.906
a_2,1367,1.313,3.046
a_2,1083,0.149,20.134
a_2,715,0.356,11.235
a_2,2368,0.416,19.23
a_2,3512,0.045,66.666
a_2,3032,0.282,10.638
a_2,224,0.185,37.837
a_2,1975,0.248,8.064
a_2,1399,0.724,15.193
a_2,3865,0.069,43.478
a_2,3657,0.043,69.767
a_2,982,0.457,41.575
a_2,5249,0.328,12.195
a_2,4572,0.129,31.007
a_2,1022,0.297,13.468
a_2,5202,0.252,11.904
a_2,2644,0.821,92.57
a_2,3922,0.039,205.128
a_2,3079,0.365,10.958
a_2,4801,0.174,11.494
a_2,84,0.894,2.237
a_2,5642,0.054,37.037
a_2,2074,0.565,3.539
a_2,694,0.319,6.269
a_2,1826,0.695,30.215
a_2,3904,0.051,117.647
a_2,5728,0.116,17.241
a_2,463,0.193,46.632
a_2,2982,0.316,12.658
a_2,5328,0.112,35.714
a_2,1480,4.354,18.603
a_2,167,0.348,14.367
a_2,5191,0.643,104.199
a_2,5598,0.316,6.329
a_2,1869,1.111,7.2
a_2,2061,0.371,21.563
a_2,3736,0.174,17.241
a_2,1631,1.101,1.816
a_2,5505,0.236,8.474
a_2,628,0.746,821.715
a_2,1385,0.794,6.297
a_2,4028,0.258,11.627
a_2,282,0.13,53.846
a_2,1610,0.386,25.906
a_2,4306,0.278,147.482
a_2,2202,0.44,27.272
a_2,5280,0.07,42.857
a_2,1584,0.258,7.751
a_2,4190,0.144,76.388
a_2,4743,0.446,6.726
a_2,5430,0.145,62.068
a_2,2244,0.679,11.782
a_2,1529,0.814,2.457
a_2,5054,0.378,7.936
a_2,4314,0.157,286.624
a_2,827,0.877,10.262
a_2,3236,0.268,18.656
a_2,4311,0.137,299.27
a_2,1583,0.238,12.605
a_2,1407,0.309,6.472
a_2,3167,0.593,26.981
a_2,5611,0.261,7.662
a_2,1158,0.305,9.836
a_2,3138,0.588,15.306
a_2,2968,0.337,8.902
a_2,2250,0.466,27.896
a_2,3754,0.076,39.473
a_2,155,0.235,42.553
a_2,537,0.042,71.428
a_2,2091,0.473,6.342
a_2,1309,0.674,4.451
a_2,1403,0.393,5.089
a_2,2542,0.124,24.193
a_2,1888,0.685,5.839
a_2,1370,0.181,22.099
a_2,804,1.108,2.707
a_2,1251,0.161,18.633
a_2,2332,0.384,7.812
a_2,2536,0.145,20.689
a_2,4,0.221,9.049
a_2,931,1.145,6.986
a_2,5791,0.117,34.188
a_2,270,0.133,52.631
a_2,714,4.43,0.902
a_2,5143,3.119,85.604
a_2,1444,0.504,3.968
a_2,2004,0.347,5.763
a_2,4451,0.126,31.746
a_2,4882,0.535,321.495
a_2,4293,0.235,174.468
a_2,5463,0.13,69.23
a_2,1005,0.493,4.056
a_2,4294,0.244,163.934
a_2,1948,0.259,11.583
a_2,2916,0.711,71.729
a_2,3645,0.072,41.666
a_2,2698,0.174,22.988
a_2,4612,0.355,8.45
a_3,3785,0.142,21.126
a_3,5004,0.151,19.867
a_3,5264,0.186,16.129
a_3,1294,0.129,465.116
a_3,4210,0.098,20.408
a_3,4727,0.121,16.528
a_3,613,0.494,8.097
a_3,5364,0.14,49.999
a_3,1508,0.514,7.782
a_3,4056,0.134,29.85
a_3,4085,0.053,56.603
a_3,42,0.892,5.605
a_3,5769,0.137,21.897
a_3,3155,0.262,15.267
a_3,3176,0.227,13.215
a_3,2071,0.311,9.646
a_3,4622,0.167,17.964
a_3,348,0.208,33.653
a_3,5562,0.786,3.816
a_3,1956,0.381,7.874
a_3,4968,0.304,197.368
a_3,1576,0.174,321.839
a_3,5050,0.203,14.778
