# META: {"workflow_id": 7, "user_id": 33, "num_abstract": 40, "connector_pattern": "001110011100011010101001010110100110010", "abstract_services": {"a_0": 92, "a_1": 100, "a_2": 111, "a_3": 95, "a_4": 108, "a_5": 96, "a_6": 105, "a_7": 119, "a_8": 121, "a_9": 119, "a_10": 102, "a_11": 119, "a_12": 122, "a_13": 87, "a_14": 96, "a_15": 94, "a_16": 104, "a_17": 118, "a_18": 122, "a_19": 88, "a_20": 121, "a_21": 90, "a_22": 115, "a_23": 95, "a_24": 97, "a_25": 120, "a_26": 121, "a_27": 108, "a_28": 97, "a_29": 102, "a_30": 120, "a_31": 86, "a_32": 122, "a_33": 98, "a_34": 98, "a_35": 89, "a_36": 122, "a_37": 104, "a_38": 115, "a_39": 122}, "total_latency": 7.479000000000001, "total_throughput": 0.695}
abstract_service,concrete_service,latency,throughput
a_0,3799,0.12,66.666
a_0,4687,0.752,390.957
a_0,2708,0.167,29.94
a_0,3443,0.164,18.292
a_0,4399,4.493,1.335
a_0,4000,0.105,28.571
a_0,1432,0.455,4.395
a_0,2121,0.977,333.674
a_0,236,0.131,53.435
a_0,1352,0.462,6.493
a_0,4960,0.592,6.756
a_0,4910,0.156,423.076
a_0,5812,0.142,28.169
a_0,507,0.155,12.903
a_0,1957,0.122,24.59
a_0,4720,0.099,20.202
a_0,3745,0.071,42.253
a_0,5265,0.076,39.473
a_0,3729,0.048,62.5
a_0,3845,0.036,55.555
a_0,4184,0.034,58.823
a_0,288,0.139,50.359
a_0,4397,0.075,40.0
a_0,3334,0.118,25.423
a_0,4200,0.036,83.333
a_0,4611,0.16,18.75
a_0,4614,0.23,13.043
a_0,19,0.216,13.888
a_0,516,0.303,9.9
a_0,3115,2.343,232.607
a_0,3012,0.114,26.315
a_0,2704,0.165,24.242
a_0,5480,0.135,66.666
a_0,3339,0.118,50.847
a_0,4992,0.169,23.668
a_0,2642,0.245,12.244
a_0,4086,0.073,54.794
a_0,791,0.582,3.436
a_0,3858,0.06,33.333
a_0,759,0.795,3.773
a_0,2763,0.188,26.595
a_0,1112,0.487,8.213
a_0,4314,0.157,286.624
a_0,1157,0.334,23.952
a_0,4830,0.471,535.031
a_0,4723,5.453,0.366
a_0,4147,0.095,263.157
a_0,266,0.231,30.303
a_0,1870,1.062,7.532
a_0,2979,0.231,17.316
a_0,5603,0.165,30.303
a_0,4495,0.159,50.314
a_0,5614,0.238,12.605
a_0,2975,0.329,12.158
a_0,5628,0.151,26.49
a_0,262,0.131,53.435
a_0,1701,0.481,511.434
a_0,5413,0.111,27.027
a_0,4613,0.267,52.434
a_0,4489,0.409,7.334
a_0,2963,0.107,37.383
a_0,4848,0.092,43.478
a_0,556,0.278,28.776
a_0,1241,0.145,20.689
a_0,1466,1.356,6.637
a_0,2293,0.415,12.048
a_0,4661,0.101,49.504
a_0,1658,0.136,36.764
a_0,2996,0.337,11.869
a_0,4988,0.125,24.0
a_0,4174,0.264,568.181
a_0,1828,0.283,10.6
a_0,1607,0.37,27.027
a_0,1387,0.302,16.556
a_0,5796,0.193,56.994
a_0,4999,0.296,13.513
a_0,1256,0.885,4.519
a_0,3087,0.276,10.869
a_0,4281,0.129,31.007
a_0,5325,0.064,62.5
a_0,1143,0.16,12.5
a_0,1802,0.165,12.121
a_0,2853,0.172,29.069
a_0,3526,0.063,47.619
a_0,1840,0.352,11.363
a_0,4179,0.124,16.129
a_0,2148,0.336,8.928
a_0,4702,0.181,22.099
a_0,527,0.3,10.0
a_0,5512,0.234,8.547
a_0,3709,0.366,284.153
a_0,67,0.965,3.108
a_1,1726,0.174,339.08
a_1,249,0.132,53.03
a_1,5597,0.135,22.222
a_1,915,0.407,7.371
a_1,5165,0.339,20.648
a_1,5647,0.083,36.144
a_1,4804,0.08,50.0
a_1,3899,0.108,296.296
a_1,5591,0.343,11.661
a_1,5503,0.237,8.438
a_1,2077,0.054,55.555
a_1,2745,0.171,29.239
a_1,1594,0.252,11.904
a_1,1179,3.024,269.51
a_1,4706,0.461,6.507
a_1,4083,0.075,40.0
a_1,1434,0.492,8.13
a_1,3565,0.068,58.823
a_1,1247,0.136,22.058
a_1,4302,0.139,287.769
a_1,2365,1.194,1.675
a_1,898,0.136,22.058
a_1,4851,0.15,20.0
a_1,2202,0.44,27.272
a_1,41,1.178,3.395
a_1,758,0.231,8.658
a_1,2768,0.169,29.585
a_1,4597,0.234,17.094
a_1,2582,0.253,7.905
a_1,2253,0.149,26.845
a_1,1098,0.383,52.219
a_1,995,3.075,108.617
a_1,1198,0.244,16.393
a_1,1001,19.439,0.154
a_1,5670,0.046,65.217
a_1,5237,0.455,15.384
a_1,1024,0.331,6.042
a_1,340,0.132,53.03
a_1,5677,0.093,32.258
a_1,4351,0.043,46.511
a_1,2617,3.556,0.562
a_1,4236,0.127,31.496
a_1,4665,0.386,12.953
a_1,1776,0.28,14.285
a_1,4504,0.108,27.777
a_1,2651,0.36,16.666
a_1,4892,0.343,17.492
a_1,4110,0.522,7.662
a_1,5105,0.079,25.316
a_1,574,0.37,10.81
a_1,1927,0.33,9.09
a_1,839,0.453,6.622
a_1,3146,0.857,4.667
a_1,3953,0.063,95.238
a_1,5522,1.387,2.162
a_1,348,0.208,33.653
a_1,2612,0.37,32.432
a_1,555,0.138,14.492
a_1,5082,0.072,27.777
a_1,5206,0.618,4.854
a_1,674,0.507,5.917
a_1,1964,0.329,9.118
a_1,521,0.321,9.345
a_1,4472,0.149,26.845
a_1,3008,0.28,17.857
a_1,715,0.356,11.235
a_1,5706,0.134,574.626
a_1,5046,0.214,14.018
a_1,3768,0.155,19.354
a_1,4260,0.243,16.46
a_1,3258,0.89,5.617
a_1,3821,0.102,9.803
a_1,783,1.471,2.719
a_1,3103,0.251,11.952
a_1,4135,0.243,37.037
a_1,2259,0.401,9.975
a_1,2953,0.188,15.957
a_1,1841,0.35,11.428
a_1,1574,2.042,1.958
a_1,1581,0.657,98.934
a_1,4535,0.066,45.454
a_1,936,0.59,6.779
a_1,1710,0.138,224.637
a_1,3348,0.212,183.962
a_1,292,0.137,51.094
a_1,4636,0.268,7.462
a_1,206,0.537,3.724
a_1,60,1.329,435.665
a_1,4711,0.432,2.314
a_1,3808,0.063,190.476
a_1,5505,0.236,8.474
a_1,895,0.091,32.967
a_1,2122,0.247,16.194
a_1,2781,0.17,23.529
a_1,1598,0.338,8.875
a_1,740,0.628,3.184
a_1,5768,2.711,1.475
a_1,2710,0.168,29.761
a_1,4826,0.513,307.992
a_1,1672,0.153,32.679
a_2,3896,0.105,200.0
a_2,5150,0.245,16.326
a_2,2240,0.394,7.614
a_2,2619,0.704,4.261
a_2,4565,0.03,100.0
a_2,4899,0.208,9.615
