# META: {"workflow_id": 6, "user_id": 33, "num_abstract": 40, "connector_pattern": "101111111100011010101100111011011010000", "abstract_services": {"a_0": 107, "a_1": 120, "a_2": 96, "a_3": 110, "a_4": 99, "a_5": 98, "a_6": 113, "a_7": 115, "a_8": 122, "a_9": 94, "a_10": 106, "a_11": 103, "a_12": 118, "a_13": 118, "a_14": 102, "a_15": 104, "a_16": 89, "a_17": 118, "a_18": 91, "a_19": 97, "a_20": 91, "a_21": 101, "a_22": 121, "a_23": 88, "a_24": 104, "a_25": 113, "a_26": 115, "a_27": 86, "a_28": 104, "a_29": 108, "a_30": 115, "a_31": 108, "a_32": 97, "a_33": 123, "a_34": 93, "a_35": 91, "a_36": 87, "a_37": 121, "a_38": 118, "a_39": 103}, "total_latency": 26.191, "total_throughput": 0.289}
abstract_service,concrete_service,latency,throughput
a_0,5758,0.145,89.655
a_0,851,0.878,70.615
a_0,2750,0.171,29.239
a_0,5107,0.133,52.631
a_0,2063,0.422,7.109
a_0,1585,0.235,8.51
a_0,4275,0.065,46.153
a_0,2097,6.705,383.445
a_0,315,0.149,46.979
a_0,2994,0.516,7.751
a_0,3845,0.036,55.555
a_0,5076,0.159,25.157
a_0,3182,0.206,29.126
a_0,5036,0.173,17.341
a_0,3449,0.167,23.952
a_0,5785,2.407,1.661
a_0,1337,0.49,4.081
a_0,5737,0.086,23.255
a_0,365,0.227,30.837
a_0,2423,0.275,7.272
a_0,5604,0.165,30.303
a_0,3597,0.044,68.181
a_0,1603,0.194,15.463
a_0,5436,0.142,35.211
a_0,5004,0.151,19.867
a_0,928,0.159,25.157
a_0,4803,7.318,0.819
a_0,2421,0.327,12.232
a_0,3573,0.071,42.253
a_0,5048,11.08,0.27
a_0,2148,0.336,8.928
a_0,2769,0.164,30.487
a_0,2874,0.165,30.303
a_0,4546,0.066,30.303
a_0,5460,0.13,53.846
a_0,2440,0.649,4.622
a_0,2093,0.797,7.528
a_0,4484,0.284,14.084
a_0,2708,0.167,29.94
a_0,3460,0.127,23.622
a_0,3095,0.315,25.396
a_0,5269,0.134,22.388
a_0,5796,0.193,56.994
a_0,5536,0.167,41.916
a_0,2883,0.345,147.826
a_0,2323,0.728,2.747
a_0,3720,0.1,840.0
a_0,2065,0.251,11.952
a_0,2592,0.461,19.522
a_0,2537,0.162,18.518
a_0,3678,0.071,42.253
a_0,1150,0.598,15.05
a_0,1842,0.364,8.241
a_0,2456,0.16,18.75
a_0,1668,0.138,36.231
a_0,161,0.271,11.07
a_0,142,0.134,22.388
a_0,3750,0.236,12.711
a_0,5089,0.11,254.545
a_0,1237,0.231,38.961
a_0,673,0.258,11.627
a_0,3391,0.483,16.563
a_0,5220,0.141,28.368
a_0,5166,0.274,7.299
a_0,1130,0.287,13.937
a_0,4807,0.147,27.21
a_0,4831,0.152,13.157
a_0,648,0.488,4.098
a_0,3181,0.218,18.348
a_0,4335,0.197,203.045
a_0,5099,0.236,16.949
a_0,3624,0.109,27.522
a_0,357,0.151,46.357
a_0,4036,0.149,40.268
a_0,4594,0.19,10.526
a_0,3542,0.049,61.224
a_0,4058,0.126,341.269
a_0,3723,0.333,9.009
a_0,2904,0.19,731.578
a_0,3686,0.158,18.987
a_0,840,1.032,1.937
a_0,1671,0.178,44.943
a_0,437,12.255,0.652
a_0,1140,0.388,23.195
a_0,3837,0.142,21.126
a_0,2588,1.118,1.788
a_0,5665,0.078,51.282
a_0,710,0.495,10.101
a_0,745,1.081,1.85
a_0,5260,0.176,22.727
a_0,4029,0.136,22.058
a_0,5115,0.13,15.384
