# META: {"workflow_id": 2, "user_id": 33, "num_abstract": 30, "connector_pattern": "10011011111011111010111000010", "abstract_services": {"a_0": 113, "a_1": 123, "a_2": 87, "a_3": 91, "a_4": 91, "a_5": 119, "a_6": 102, "a_7": 95, "a_8": 95, "a_9": 95, "a_10": 114, "a_11": 105, "a_12": 90, "a_13": 123, "a_14": 88, "a_15": 105, "a_16": 115, "a_17": 108, "a_18": 105, "a_19": 101, "a_20": 106, "a_21": 120, "a_22": 100, "a_23": 90, "a_24": 111, "a_25": 92, "a_26": 96, "a_27": 113, "a_28": 119, "a_29": 118}, "total_latency": 2.228, "total_throughput": 1.788}
abstract_service,concrete_service,latency,throughput
a_0,2969,0.277,14.44
a_0,824,0.643,21.772
a_0,3607,0.117,25.641
a_0,4003,0.196,418.367
a_0,859,0.403,4.962
a_0,787,0.306,13.071
a_0,4002,0.101,19.801
a_0,3317,0.176,17.045
a_0,1583,0.238,12.605
a_0,4337,0.064,62.5
a_0,4649,0.701,8.559
a_0,2666,0.703,100.995
a_0,650,0.23,8.695
a_0,3213,0.233,17.167
a_0,1850,0.849,2.355
a_0,4594,0.19,10.526
a_0,1013,0.678,421.828
a_0,4780,0.186,16.129
a_0,2211,0.957,9.404
a_0,3791,0.123,65.04
a_0,4766,0.107,65.42
a_0,208,0.612,8.169
a_0,3112,0.341,11.73
a_0,5491,0.2,20.0
a_0,2302,0.702,71.225
a_0,441,13.074,0.611
a_0,5538,0.35,20.0
a_0,5385,0.815,6.134
a_0,2948,0.187,21.39
a_0,1049,0.807,12.391
a_0,1270,0.115,26.086
a_0,2841,0.164,30.487
a_0,4104,0.04,75.0
a_0,1931,0.13,23.076
a_0,3665,0.075,40.0
a_0,2737,0.17,29.411
a_0,3364,0.143,20.979
a_0,3815,0.042,119.047
a_0,2251,0.143,20.979
a_0,3670,0.133,22.556
a_0,2593,0.572,1.748
a_0,4462,0.063,63.492
a_0,74,0.631,4.754
a_0,1743,0.211,706.161
a_0,1153,0.395,22.784
a_0,5795,0.116,34.482
a_0,1630,0.363,11.019
a_0,5457,0.396,5.05
a_0,3790,0.182,43.956
a_0,2022,0.257,11.673
a_0,2707,0.181,27.624
a_0,1111,0.457,8.752
a_0,5492,0.087,34.482
a_0,417,12.995,0.615
a_0,5563,0.382,5.235
a_0,3066,0.975,9.23
a_0,3679,0.082,36.585
a_0,658,0.247,8.097
a_0,1792,0.315,9.523
a_0,3954,0.115,34.782
a_0,2195,0.543,9.208
a_0,3649,0.16,18.75
a_0,3720,0.1,840.0
a_0,3184,0.194,25.773
a_0,3927,0.037,162.162
a_0,4668,0.401,4.987
a_0,909,2.669,310.977
a_0,4522,0.107,28.037
a_0,5268,0.077,38.961
a_0,335,0.182,38.461
a_0,1195,0.601,3.327
a_0,4179,0.124,16.129
a_0,2866,0.818,6.112
a_0,2706,0.176,28.409
a_0,2968,0.337,8.902
a_0,3183,0.202,14.851
a_0,5390,0.195,10.256
a_0,4642,0.131,22.9
a_0,3125,0.132,15.151
a_0,34,1.516,1.978
a_0,1363,0.456,6.578
a_0,1651,0.143,34.965
a_0,2004,0.347,5.763
a_0,4068,0.142,14.084
a_0,1624,0.347,5.763
a_0,1402,0.168,23.809
a_0,3148,0.274,14.598
a_0,4706,0.461,6.507
a_0,831,0.663,3.016
a_0,2665,1.014,2.958
a_0,5717,0.09,33.333
a_0,1268,0.418,7.177
a_0,5510,0.251,7.968
a_0,4045,0.237,21.097
a_0,4693,0.12,33.333
a_0,5460,0.13,53.846
a_0,3589,0.028,107.142
a_0,2726,0.161,31.055
a_0,582,0.093,32.258
a_0,4412,0.137,29.197
a_0,193,0.244,8.196
a_0,4049,0.067,29.85
a_0,5371,0.118,16.949
a_0,3206,0.23,13.043
a_0,400,0.183,38.251
a_0,2164,0.53,7.547
a_0,1863,0.245,16.326
a_0,5216,0.435,6.896
a_0,4612,0.355,8.45
a_0,1316,0.646,3.095
a_0,5304,0.444,4.504
a_0,2890,0.209,492.822
a_0,1845,0.251,11.952
a_1,1930,0.327,9.174
a_1,5244,0.356,8.426
a_1,3645,0.072,41.666
a_1,4842,0.169,23.668
a_1,3843,0.04,275.0
a_1,4781,0.199,10.05
a_1,5058,0.121,16.528
a_1,3185,0.225,13.333
a_1,4418,0.157,25.477
a_1,2422,0.948,65.4
a_1,4761,0.132,22.727
a_1,3881,0.205,14.634
a_1,4897,0.12,25.0
a_1,903,0.214,18.691
a_1,1714,0.146,486.301
a_1,3940,0.078,102.564
a_1,3048,0.326,6.134
a_1,5080,0.084,95.238
a_1,2373,0.232,34.482
a_1,1478,0.373,8.042
a_1,5151,0.465,10.752
a_1,1353,0.135,22.222
a_1,4606,0.912,3.289
a_1,5186,0.474,6.329
a_1,399,0.146,47.945
a_1,1547,0.788,2.538
a_1,906,0.181,16.574
a_1,1412,0.748,2.673
a_1,3693,0.026,115.384
a_1,229,0.159,44.025
a_1,3197,0.199,15.075
a_1,4754,0.135,303.703
a_1,3254,0.079,63.291
a_1,3060,1.382,459.479
a_1,3055,0.321,9.345
a_1,4067,0.648,98.765
a_1,4921,0.136,22.058
a_1,2129,0.67,4.477
a_1,1997,0.253,3.952
a_1,620,0.456,4.385
a_1,1479,0.341,14.662
a_1,2167,0.153,19.607
a_1,4736,0.522,1.915
a_1,3804,0.114,70.175
a_1,3331,2.539,798.345
a_1,3422,0.196,15.306
a_1,5614,0.238,12.605
a_1,2973,0.207,67.632
a_1,1259,0.707,4.243
a_1,2787,0.331,15.105
a_1,3543,0.046,65.217
a_1,4998,0.039,51.282
a_1,3166,0.21,14.285
a_1,1864,0.285,14.035
a_1,1238,0.645,3.1
a_1,4521,0.133,22.556
a_1,3085,0.414,7.246
a_1,3644,0.059,50.847
a_1,292,0.137,51.094
a_1,5336,0.123,32.52
a_1,4253,0.067,59.701
a_1,1911,0.647,4.636
a_1,142,0.134,22.388
a_1,1696,0.136,36.764
a_1,4796,0.041,73.17
a_1,258,0.2,35.0
a_1,4248,0.064,46.875
a_1,1580,0.308,16.233
a_1,4250,0.137,29.197
a_1,2809,0.178,28.089
a_1,1318,0.579,3.454
a_1,3614,0.076,39.473
a_1,571,0.329,6.079
a_1,1041,0.17,17.647
a_1,54,0.452,11.061
a_1,169,0.169,17.751
a_1,2669,0.163,12.269
a_1,3518,0.074,40.54
a_1,2942,0.232,38.793
a_1,4763,0.213,9.389
a_1,4687,0.752,390.957
a_1,4977,0.14,21.428
a_1,5757,0.121,24.793
a_1,4236,0.127,31.496
a_1,917,0.14,21.428
a_1,5783,0.152,368.421
a_1,1566,0.534,71.161
a_1,2966,0.115,34.782
a_1,2371,0.239,33.472
a_1,1256,0.885,4.519
a_1,2828,0.17,29.411
a_1,2063,0.422,7.109
a_1,272,0.133,52.631
a_1,1872,1.064,7.518
a_1,1311,0.228,17.543
a_1,2221,2.023,1.482
a_1,3147,0.247,12.145
a_1,1495,0.293,10.238
a_1,5076,0.159,25.157
a_1,5008,0.316,6.329
a_1,3344,0.228,162.28
a_1,5707,0.049,61.224
a_1,1926,1.021,2.938
a_1,1994,0.269,11.152
a_1,4809,0.493,4.056
a_1,1045,0.323,6.191
a_1,962,0.222,157.657
a_1,2590,0.569,94.903
a_1,3514,0.076,39.473
a_1,280,0.132,53.03
a_1,637,0.265,7.547
a_1,2658,0.398,10.05
a_1,2401,1.034,2.901
a_1,5623,0.219,13.698
a_1,5732,0.178,22.471
a_1,1753,0.41,7.317
a_1,1766,0.435,4.597
a_1,5684,0.047,63.829
a_1,32,0.297,10.101
a_1,2486,1.729,5.783
a_1,2358,1.903,1.05
a_1,3201,0.224,13.392
a_1,904,0.338,8.875
a_2,3961,0.079,12.658
a_2,297,0.153,45.751
a_2,791,0.582,3.436
a_2,521,0.321,9.345
a_2,2630,0.906,89.403
a_2,5102,0.09,22.222
a_2,4813,0.13,23.076
a_2,3124,0.449,6.681
a_2,3009,0.116,34.482
a_2,3562,0.064,46.875
a_2,3453,0.164,18.292
a_2,3077,0.226,8.849
a_2,4184,0.034,58.823
a_2,1050,0.438,15.981
a_2,4014,0.043,46.511
a_2,60,1.329,435.665
a_2,45,0.261,22.988
a_2,2642,0.245,12.244
a_2,1015,0.271,11.07
a_2,3414,0.164,18.292
a_2,3551,0.071,42.253
a_2,5319,0.194,25.773
a_2,3221,1.254,3.189
a_2,4121,0.056,89.285
a_2,3703,9.587,0.312
a_2,5648,0.171,11.695
a_2,4956,0.092,97.826
a_2,2617,3.556,0.562
a_2,1431,0.661,665.658
a_2,652,0.239,8.368
a_2,5419,0.195,20.512
a_2,1433,0.122,16.393
a_2,967,0.505,3.96
a_2,4514,0.066,303.03
a_2,3224,0.269,14.869
a_2,5094,0.233,25.751
a_2,4490,0.362,11.049
a_2,989,0.351,5.698
a_2,3699,0.047,63.829
a_2,965,15.721,0.445
a_2,2714,0.167,29.94
a_2,4771,0.666,37.537
a_2,307,0.193,36.269
a_2,3138,0.588,15.306
a_2,3136,0.509,9.823
a_2,2032,0.185,16.216
a_2,5788,0.18,11.111
a_2,2509,0.141,14.184
a_2,2924,0.165,18.181
a_2,5425,0.215,4.651
a_2,2319,0.296,10.135
a_2,187,0.563,12.433
a_2,1089,0.115,26.086
a_2,3428,0.161,24.844
a_2,4811,0.238,21.008
a_2,506,0.352,53.977
a_2,5331,0.14,21.428
a_2,388,0.187,37.433
a_2,122,0.309,9.708
a_2,240,0.13,53.846
a_2,688,0.314,6.369
a_2,1309,0.674,4.451
a_2,1160,0.145,20.689
a_2,3370,0.069,463.768
a_2,2064,0.521,5.758
a_2,4824,1.08,31.481
a_2,44,0.711,8.438
a_2,5290,0.405,856.79
a_2,1691,0.158,31.645
a_2,5462,0.129,69.767
a_2,5807,0.401,159.6
a_2,5261,0.201,14.925
a_2,2670,0.376,5.319
a_2,2637,0.245,228.571
a_2,5640,0.073,54.794
a_2,475,0.181,49.723
a_2,395,0.187,37.433
a_2,499,0.094,85.106
a_2,5337,0.079,50.632
a_2,2379,0.217,36.866
a_2,2574,0.285,10.526
a_2,5291,0.158,18.987
a_2,1288,0.144,381.944
a_2,5482,0.138,65.217
a_2,1564,0.609,4.926
a_2,784,0.612,4.901
a_2,981,0.366,8.196
a_3,4245,0.066,45.454
a_3,3818,0.166,6.024
a_3,3511,0.045,66.666
a_3,3243,0.898,20.044
a_3,2795,0.165,30.303
a_3,5465,0.129,69.767
a_3,2943,0.116,68.965
a_3,2108,0.315,9.523
a_3,5231,0.837,3.584
a_3,2536,0.145,20.689
a_3,4576,0.191,445.026
a_3,2946,0.338,11.834
a_3,2272,0.185,10.81
a_3,4613,0.267,52.434
a_3,5552,0.135,59.259
a_3,481,0.094,95.744
a_3,1912,1.432,152.234
a_3,4023,0.797,131.744
a_3,1899,0.263,15.209
a_3,5472,0.131,53.435
a_3,1226,0.239,37.656
a_3,3460,0.127,23.622
a_3,4444,0.077,38.961
a_3,1916,0.227,13.215
a_3,3057,0.218,13.761
a_3,4803,7.318,0.819
a_3,4097,0.101,79.207
a_3,3061,0.313,41.533
a_3,1641,0.167,29.94
a_3,4633,0.167,17.964
a_3,2782,0.173,28.901
a_3,2185,0.541,5.545
a_3,293,12.164,0.657
a_3,1447,0.683,73.206
a_3,17,0.88,10.227
a_3,89,0.177,16.949
a_3,73,1.121,21.409
a_3,1210,0.474,12.658
a_3,2601,0.431,9.28
a_3,2759,0.179,27.932
a_3,2170,0.37,5.405
a_3,591,0.123,113.821
a_3,2685,0.546,7.326
a_3,2053,0.686,4.373
a_3,2807,0.164,30.487
a_3,3886,0.131,30.534
a_3,2914,0.102,29.411
a_3,4291,0.233,17.167
a_3,3878,0.295,13.559
a_3,4328,0.073,54.794
a_3,3349,0.117,42.735
a_3,3047,0.302,6.622
a_3,3632,0.051,58.823
a_3,153,0.29,6.896
a_3,814,0.821,3.654
a_3,5137,0.634,6.309
a_3,5259,0.148,20.27
a_3,2061,0.371,21.563
a_3,4106,0.102,39.215
a_3,5713,0.103,29.126
a_3,692,0.316,6.329
a_3,5642,0.054,37.037
a_3,601,0.395,17.721
a_3,476,0.135,66.666
a_3,206,0.537,3.724
a_3,4242,0.063,47.619
a_3,4839,0.113,35.398
a_3,940,0.288,10.416
a_3,5288,0.141,21.276
a_3,2740,0.158,31.645
a_3,2579,1.542,166.018
a_3,792,0.57,3.508
a_3,3950,0.055,54.545
a_3,1006,0.272,7.352
a_3,5792,0.055,54.545
a_3,5531,0.166,42.168
a_3,2853,0.172,29.069
a_3,5639,0.052,153.846
a_3,4636,0.268,7.462
a_3,3164,0.276,18.115
a_3,1598,0.338,8.875
a_3,1411,0.367,5.449
a_3,5471,0.129,69.767
a_3,3438,0.196,20.408
a_3,5273,0.224,22.321
a_3,3802,0.106,75.471
a_3,4123,0.138,123.188
a_3,958,0.172,17.441
a_3,5806,0.12,175.0
a_3,1184,0.42,9.523
a_3,1840,0.352,11.363
a_4,2139,0.35,5.714
a_4,3550,0.062,48.387
a_4,3823,0.102,9.803
a_4,5407,0.565,14.159
a_4,5771,0.097,41.237
a_4,5712,0.143,538.461
a_4,4601,0.038,105.263
a_4,4252,0.163,24.539
a_4,4836,0.165,12.121
a_4,1294,0.129,465.116
a_4,41,1.178,3.395
a_4,4398,0.071,56.338
a_4,2656,0.607,3.294
a_4,2018,0.254,7.874
a_4,1987,1.159,9.49
a_4,53,0.578,6.92
a_4,4498,0.207,14.492
a_4,3122,0.258,7.751
a_4,3606,0.03,100.0
a_4,1207,0.371,8.086
a_4,2219,0.276,25.362
a_4,2078,0.211,14.218
a_4,510,0.342,8.771
