# META: {"workflow_id": 3, "user_id": 33, "num_abstract": 30, "connector_pattern": "00001100111110101111000101010", "abstract_services": {"a_0": 115, "a_1": 92, "a_2": 104, "a_3": 105, "a_4": 119, "a_5": 91, "a_6": 94, "a_7": 104, "a_8": 103, "a_9": 97, "a_10": 122, "a_11": 97, "a_12": 111, "a_13": 105, "a_14": 95, "a_15": 94, "a_16": 101, "a_17": 92, "a_18": 117, "a_19": 94, "a_20": 111, "a_21": 97, "a_22": 96, "a_23": 93, "a_24": 113, "a_25": 109, "a_26": 87, "a_27": 98, "a_28": 112, "a_29": 122}, "total_latency": 3.333, "total_throughput": 1.785}
abstract_service,concrete_service,latency,throughput
a_0,3065,0.356,56.179
a_0,2119,0.447,6.711
a_0,310,0.16,56.25
a_0,5280,0.07,42.857
a_0,775,1.376,2.906
a_0,4729,0.152,13.157
a_0,3347,0.131,22.9
a_0,5336,0.123,32.52
a_0,4232,0.588,79.931
a_0,1851,0.463,4.319
a_0,1382,0.464,4.31
a_0,121,1.569,1.912
a_0,82,1.081,3.7
a_0,2510,0.352,5.681
a_0,2066,0.127,23.622
a_0,5426,0.193,5.181
a_0,3871,0.051,78.431
a_0,666,0.505,7.92
a_0,4039,0.127,31.496
a_0,3566,0.062,64.516
a_0,5487,0.092,97.826
a_0,2713,0.17,29.411
a_0,1734,0.188,872.34
a_0,5311,0.074,40.54
a_0,5033,0.11,36.363
a_0,5074,0.32,59.375
a_0,136,0.304,6.578
a_0,488,0.186,48.387
a_0,5292,0.09,111.111
a_0,2028,0.371,10.781
a_0,3353,0.068,29.411
a_0,2725,0.183,27.322
a_0,1618,0.43,6.976
a_0,5306,0.242,16.528
a_0,5398,0.095,42.105
a_0,5808,0.173,17.341
a_0,5491,0.2,20.0
a_0,1517,0.132,15.151
a_0,4419,0.07,42.857
a_0,917,0.14,21.428
a_0,2500,0.158,101.265
a_0,4211,0.089,33.707
a_0,634,0.24,183.333
a_0,3110,0.469,14.925
a_0,1689,0.143,34.965
a_0,1006,0.272,7.352
a_0,1636,0.27,18.518
a_0,4894,0.104,28.846
a_0,1393,1.225,61.224
a_0,697,0.267,7.49
a_0,4688,0.113,35.398
a_0,5789,0.084,23.809
a_0,2515,0.847,80.283
a_0,1429,0.654,61.162
a_0,5745,0.044,68.181
a_0,4883,0.104,19.23
a_0,4711,0.432,2.314
a_0,5309,0.025,200.0
a_0,5585,0.363,22.038
a_0,2692,0.173,28.901
a_0,670,11.177,6.083
a_0,1250,0.591,5.076
a_0,5019,0.353,14.164
a_0,5618,0.159,18.867
a_0,2421,0.327,12.232
a_0,2045,2.577,1.164
a_0,4266,0.077,38.961
a_0,4613,0.267,52.434
a_0,596,0.244,12.295
a_0,3986,0.041,121.951
a_0,2115,0.74,5.405
a_0,359,0.209,33.492
a_0,2454,0.187,16.042
a_0,1966,0.146,20.547
a_0,821,0.673,2.971
a_0,1131,0.699,138.769
a_0,3750,0.236,12.711
a_0,1780,0.139,14.388
a_0,3893,0.14,28.571
a_0,4666,0.524,3.816
a_0,450,10.764,0.743
a_0,421,0.489,14.314
a_0,3703,9.587,0.312
a_0,3209,0.247,68.825
a_0,2683,0.756,48.941
a_0,4199,0.036,83.333
a_0,9,0.666,4.504
a_0,1424,0.399,15.037
a_0,4644,0.116,34.482
a_0,2443,0.711,4.219
a_0,4018,0.814,128.992
a_0,4480,0.264,15.151
a_0,4727,0.121,16.528
