vm_type,a,b,c,d,e,f,g,h,i,j,k,l,<$auc,<$infer_time
1,0,0,0,0,0,0,0,0,0,0,0,0,0.535714286,0.069680452
1,0,0,0,0,0,0,0,0,0,0,0,1,0.535714286,0.067439079
1,0,0,0,0,0,0,0,0,0,0,1,0,0.535714286,0.070156574
1,0,0,0,0,0,0,0,0,0,0,1,1,0.535714286,0.070715904
1,0,0,0,0,0,0,0,0,0,1,0,0,0.535714286,0.069308281
1,0,0,0,0,0,0,0,0,0,1,0,1,0.535714286,0.068473339
1,0,0,0,0,0,0,0,0,0,1,1,0,0.535714286,0.070233822
1,0,0,0,0,0,0,0,0,0,1,1,1,0.535714286,0.069992542
1,0,0,0,0,0,0,0,0,1,0,0,0,0.535714286,0.068392754
1,0,0,0,0,0,0,0,0,1,0,0,1,0.535714286,0.068108559
1,0,0,0,0,0,0,0,0,1,0,1,0,0.535714286,0.070077419
1,0,0,0,0,0,0,0,0,1,0,1,1,0.535714286,0.072700739
1,0,0,0,0,0,0,0,0,1,1,0,0,0.535714286,0.072391987
1,0,0,0,0,0,0,0,0,1,1,0,1,0.535714286,0.068143129
1,0,0,0,0,0,0,0,0,1,1,1,0,0.535714286,0.068234921
1,0,0,0,0,0,0,0,0,1,1,1,1,0.535714286,0.069756508
1,0,0,0,0,0,0,0,1,0,0,0,0,0.535714286,0.072581053
1,0,0,0,0,0,0,0,1,0,0,0,1,0.535714286,0.066946745
1,0,0,0,0,0,0,0,1,0,0,1,0,0.535714286,0.071548462
1,0,0,0,0,0,0,0,1,0,0,1,1,0.535714286,0.067273378
1,0,0,0,0,0,0,0,1,0,1,0,0,0.535714286,0.072072029
1,0,0,0,0,0,0,0,1,0,1,0,1,0.535714286,0.069459438
1,0,0,0,0,0,0,0,1,0,1,1,0,0.535714286,0.069547892
1,0,0,0,0,0,0,0,1,0,1,1,1,0.535714286,0.071779728
1,0,0,0,0,0,0,0,1,1,0,0,0,0.535714286,0.069669247
1,0,0,0,0,0,0,0,1,1,0,0,1,0.535714286,0.070044994
1,0,0,0,0,0,0,0,1,1,0,1,0,0.535714286,0.07082653
1,0,0,0,0,0,0,0,1,1,0,1,1,0.535714286,0.072054863
1,0,0,0,0,0,0,0,1,1,1,0,0,0.535714286,0.068847179
1,0,0,0,0,0,0,0,1,1,1,0,1,0.535714286,0.067621469
1,0,0,0,0,0,0,0,1,1,1,1,0,0.535714286,0.07073164
1,0,0,0,0,0,0,0,1,1,1,1,1,0.535714286,0.069233179
1,0,0,0,0,0,0,1,0,0,0,0,0,0.464285714,0.075273752
1,0,0,0,0,0,0,1,0,0,0,0,1,0.464285714,0.072672367
1,0,0,0,0,0,0,1,0,0,0,1,0,0.464285714,0.073909521
1,0,0,0,0,0,0,1,0,0,0,1,1,0.464285714,0.072109222
1,0,0,0,0,0,0,1,0,0,1,0,0,0.464285714,0.073377371
1,0,0,0,0,0,0,1,0,0,1,0,1,0.464285714,0.072708368
1,0,0,0,0,0,0,1,0,0,1,1,0,0.464285714,0.072753668
1,0,0,0,0,0,0,1,0,0,1,1,1,0.464285714,0.076719522
1,0,0,0,0,0,0,1,0,1,0,0,0,0.464285714,0.07218194
1,0,0,0,0,0,0,1,0,1,0,0,1,0.464285714,0.074594975
1,0,0,0,0,0,0,1,0,1,0,1,0,0.464285714,0.075541973
1,0,0,0,0,0,0,1,0,1,0,1,1,0.464285714,0.072393417
1,0,0,0,0,0,0,1,0,1,1,0,0,0.464285714,0.075793266
1,0,0,0,0,0,0,1,0,1,1,0,1,0.464285714,0.074724674
1,0,0,0,0,0,0,1,0,1,1,1,0,0.464285714,0.071793079
1,0,0,0,0,0,0,1,0,1,1,1,1,0.464285714,0.07598424
1,0,0,0,0,0,0,1,1,0,0,0,0,0.535714286,0.072748899
1,0,0,0,0,0,0,1,1,0,0,0,1,0.535714286,0.072896957
1,0,0,0,0,0,0,1,1,0,0,1,0,0.535714286,0.071801424
1,0,0,0,0,0,0,1,1,0,0,1,1,0.535714286,0.074026823
1,0,0,0,0,0,0,1,1,0,1,0,0,0.535714286,0.072229862
1,0,0,0,0,0,0,1,1,0,1,0,1,0.535714286,0.071962595
1,0,0,0,0,0,0,1,1,0,1,1,0,0.535714286,0.075848579
1,0,0,0,0,0,0,1,1,0,1,1,1,0.535714286,0.074843407
1,0,0,0,0,0,0,1,1,1,0,0,0,0.535714286,0.073203802
1,0,0,0,0,0,0,1,1,1,0,0,1,0.535714286,0.072052717
1,0,0,0,0,0,0,1,1,1,0,1,0,0.535714286,0.071786642
1,0,0,0,0,0,0,1,1,1,0,1,1,0.535714286,0.076468468
1,0,0,0,0,0,0,1,1,1,1,0,0,0.535714286,0.074215889
1,0,0,0,0,0,0,1,1,1,1,0,1,0.535714286,0.075181484
1,0,0,0,0,0,0,1,1,1,1,1,0,0.535714286,0.072842121
1,0,0,0,0,0,0,1,1,1,1,1,1,0.535714286,0.07174325
1,0,0,0,0,0,1,0,0,0,0,0,0,0.464285714,0.13070941
1,0,0,0,0,0,1,0,0,0,0,0,1,0.464285714,0.135308027
1,0,0,0,0,0,1,0,0,0,0,1,0,0.464285714,0.130640984
1,0,0,0,0,0,1,0,0,0,0,1,1,0.464285714,0.131253004
1,0,0,0,0,0,1,0,0,0,1,0,0,0.464285714,0.13022995
1,0,0,0,0,0,1,0,0,0,1,0,1,0.464285714,0.132216692
1,0,0,0,0,0,1,0,0,0,1,1,0,0.464285714,0.131494522
1,0,0,0,0,0,1,0,0,0,1,1,1,0.464285714,0.130317211
1,0,0,0,0,0,1,0,0,1,0,0,0,0.464285714,0.12942028
1,0,0,0,0,0,1,0,0,1,0,0,1,0.464285714,0.134100676
1,0,0,0,0,0,1,0,0,1,0,1,0,0.464285714,0.132010698
1,0,0,0,0,0,1,0,0,1,0,1,1,0.464285714,0.129565716
1,0,0,0,0,0,1,0,0,1,1,0,0,0.464285714,0.128989458
1,0,0,0,0,0,1,0,0,1,1,0,1,0.464285714,0.133597851
1,0,0,0,0,0,1,0,0,1,1,1,0,0.464285714,0.131621361
1,0,0,0,0,0,1,0,0,1,1,1,1,0.464285714,0.133225203
1,0,0,0,0,0,1,0,1,0,0,0,0,0.535714286,0.1342628
1,0,0,0,0,0,1,0,1,0,0,0,1,0.535714286,0.132974863
1,0,0,0,0,0,1,0,1,0,0,1,0,0.535714286,0.129301548
1,0,0,0,0,0,1,0,1,0,0,1,1,0.535714286,0.135556936
1,0,0,0,0,0,1,0,1,0,1,0,0,0.535714286,0.12838769
1,0,0,0,0,0,1,0,1,0,1,0,1,0.535714286,0.130540609
1,0,0,0,0,0,1,0,1,0,1,1,0,0.535714286,0.13071084
1,0,0,0,0,0,1,0,1,0,1,1,1,0.535714286,0.130818844
1,0,0,0,0,0,1,0,1,1,0,0,0,0.535714286,0.13502264
1,0,0,0,0,0,1,0,1,1,0,0,1,0.535714286,0.131970882
1,0,0,0,0,0,1,0,1,1,0,1,0,0.535714286,0.134622812
1,0,0,0,0,0,1,0,1,1,0,1,1,0.535714286,0.13071084
1,0,0,0,0,0,1,0,1,1,1,0,0,0.535714286,0.132704496
1,0,0,0,0,0,1,0,1,1,1,0,1,0.535714286,0.129768372
1,0,0,0,0,0,1,0,1,1,1,1,0,0.535714286,0.13127017
1,0,0,0,0,0,1,0,1,1,1,1,1,0.535714286,0.127590418
1,0,0,0,0,0,1,1,0,0,0,0,0,0.464285714,0.162044048
1,0,0,0,0,0,1,1,0,0,0,0,1,0.464285714,0.161615372
1,0,0,0,0,0,1,1,0,0,0,1,0,0.464285714,0.166663885
1,0,0,0,0,0,1,1,0,0,0,1,1,0.464285714,0.160934448
1,0,0,0,0,0,1,1,0,0,1,0,0,0.464285714,0.16074872
1,0,0,0,0,0,1,1,0,0,1,0,1,0.464285714,0.165242195
1,0,0,0,0,0,1,1,0,0,1,1,0,0.464285714,0.166876316
1,0,0,0,0,0,1,1,0,0,1,1,1,0.464285714,0.162011147
1,0,0,0,0,0,1,1,0,1,0,0,0,0.464285714,0.164402485
1,0,0,0,0,0,1,1,0,1,0,0,1,0.464285714,0.165438175
1,0,0,0,0,0,1,1,0,1,0,1,0,0.464285714,0.162243128
1,0,0,0,0,0,1,1,0,1,0,1,1,0.464285714,0.166156054
1,0,0,0,0,0,1,1,0,1,1,0,0,0.464285714,0.161020517
1,0,0,0,0,0,1,1,0,1,1,0,1,0.464285714,0.163598776
1,0,0,0,0,0,1,1,0,1,1,1,0,0.464285714,0.161551237
1,0,0,0,0,0,1,1,0,1,1,1,1,0.464285714,0.163990974
1,0,0,0,0,0,1,1,1,0,0,0,0,0.535714286,0.160598755
1,0,0,0,0,0,1,1,1,0,0,0,1,0.535714286,0.160111189
1,0,0,0,0,0,1,1,1,0,0,1,0,0.535714286,0.159883022
1,0,0,0,0,0,1,1,1,0,0,1,1,0.535714286,0.163160086
1,0,0,0,0,0,1,1,1,0,1,0,0,0.535714286,0.163507938
1,0,0,0,0,0,1,1,1,0,1,0,1,0.535714286,0.165755033
1,0,0,0,0,0,1,1,1,0,1,1,0,0.535714286,0.15931344
1,0,0,0,0,0,1,1,1,0,1,1,1,0.535714286,0.161493301
1,0,0,0,0,0,1,1,1,1,0,0,0,0.535714286,0.1611166
1,0,0,0,0,0,1,1,1,1,0,0,1,0.535714286,0.162452459
1,0,0,0,0,0,1,1,1,1,0,1,0,0.535714286,0.162731171
1,0,0,0,0,0,1,1,1,1,0,1,1,0.535714286,0.162896395
1,0,0,0,0,0,1,1,1,1,1,0,0,0.535714286,0.16194725
1,0,0,0,0,0,1,1,1,1,1,0,1,0.535714286,0.161257744
1,0,0,0,0,0,1,1,1,1,1,1,0,0.535714286,0.16610527
1,0,0,0,0,0,1,1,1,1,1,1,1,0.535714286,0.161839247
1,0,0,0,0,1,0,0,0,0,0,0,0,0.535714286,0.075127602
1,0,0,0,0,1,0,0,0,0,0,0,1,0.535714286,0.072806597
1,0,0,0,0,1,0,0,0,0,0,1,0,0.535714286,0.073301315
1,0,0,0,0,1,0,0,0,0,0,1,1,0.535714286,0.076570749
1,0,0,0,0,1,0,0,0,0,1,0,0,0.535714286,0.074834824
1,0,0,0,0,1,0,0,0,0,1,0,1,0.535714286,0.075472832
1,0,0,0,0,1,0,0,0,0,1,1,0,0.535714286,0.072502375
1,0,0,0,0,1,0,0,0,0,1,1,1,0.535714286,0.073236942
1,0,0,0,0,1,0,0,0,1,0,0,0,0.535714286,0.073904514
1,0,0,0,0,1,0,0,0,1,0,0,1,0.535714286,0.074221849
1,0,0,0,0,1,0,0,0,1,0,1,0,0.535714286,0.073542833
1,0,0,0,0,1,0,0,0,1,0,1,1,0.535714286,0.072986364
1,0,0,0,0,1,0,0,0,1,1,0,0,0.535714286,0.074249029
1,0,0,0,0,1,0,0,0,1,1,0,1,0.535714286,0.075613737
1,0,0,0,0,1,0,0,0,1,1,1,0,0.535714286,0.07255435
1,0,0,0,0,1,0,0,0,1,1,1,1,0.535714286,0.077399254
1,0,0,0,0,1,0,0,1,0,0,0,0,0.535714286,0.0727036
1,0,0,0,0,1,0,0,1,0,0,0,1,0.535714286,0.073851824
1,0,0,0,0,1,0,0,1,0,0,1,0,0.535714286,0.073400259
1,0,0,0,0,1,0,0,1,0,0,1,1,0.535714286,0.073685884
1,0,0,0,0,1,0,0,1,0,1,0,0,0.535714286,0.074173689
1,0,0,0,0,1,0,0,1,0,1,0,1,0.535714286,0.07319808
1,0,0,0,0,1,0,0,1,0,1,1,0,0.535714286,0.073496103
1,0,0,0,0,1,0,0,1,0,1,1,1,0.535714286,0.072934151
1,0,0,0,0,1,0,0,1,1,0,0,0,0.535714286,0.073340893
1,0,0,0,0,1,0,0,1,1,0,0,1,0.535714286,0.074566603
1,0,0,0,0,1,0,0,1,1,0,1,0,0.535714286,0.074536085
1,0,0,0,0,1,0,0,1,1,0,1,1,0.535714286,0.073782206
1,0,0,0,0,1,0,0,1,1,1,0,0,0.535714286,0.071726084
1,0,0,0,0,1,0,0,1,1,1,0,1,0.535714286,0.072320461
1,0,0,0,0,1,0,0,1,1,1,1,0,0.535714286,0.072851658
1,0,0,0,0,1,0,0,1,1,1,1,1,0.535714286,0.072450876
1,0,0,0,0,1,0,1,0,0,0,0,0,0.464285714,0.080564022
1,0,0,0,0,1,0,1,0,0,0,0,1,0.464285714,0.077970743
1,0,0,0,0,1,0,1,0,0,0,1,0,0.464285714,0.078928709
1,0,0,0,0,1,0,1,0,0,0,1,1,0.464285714,0.077876091
1,0,0,0,0,1,0,1,0,0,1,0,0,0.464285714,0.079164982
1,0,0,0,0,1,0,1,0,0,1,0,1,0.464285714,0.078019142
1,0,0,0,0,1,0,1,0,0,1,1,0,0.464285714,0.080504894
1,0,0,0,0,1,0,1,0,0,1,1,1,0.464285714,0.075812101
1,0,0,0,0,1,0,1,0,1,0,0,0,0.464285714,0.078866005
1,0,0,0,0,1,0,1,0,1,0,0,1,0.464285714,0.07984519
1,0,0,0,0,1,0,1,0,1,0,1,0,0.464285714,0.077210426
1,0,0,0,0,1,0,1,0,1,0,1,1,0.464285714,0.076484442
1,0,0,0,0,1,0,1,0,1,1,0,0,0.464285714,0.077100992
1,0,0,0,0,1,0,1,0,1,1,0,1,0.464285714,0.076811314
1,0,0,0,0,1,0,1,0,1,1,1,0,0.464285714,0.082047462
1,0,0,0,0,1,0,1,0,1,1,1,1,0.464285714,0.07912755
1,0,0,0,0,1,0,1,1,0,0,0,0,0.535714286,0.079031706
1,0,0,0,0,1,0,1,1,0,0,0,1,0.535714286,0.079712868
1,0,0,0,0,1,0,1,1,0,0,1,0,0.535714286,0.081395388
1,0,0,0,0,1,0,1,1,0,0,1,1,0.535714286,0.080349207
1,0,0,0,0,1,0,1,1,0,1,0,0,0.535714286,0.077302694
1,0,0,0,0,1,0,1,1,0,1,0,1,0.535714286,0.076836109
1,0,0,0,0,1,0,1,1,0,1,1,0,0.535714286,0.078116894
1,0,0,0,0,1,0,1,1,0,1,1,1,0.535714286,0.080564737
1,0,0,0,0,1,0,1,1,1,0,0,0,0.535714286,0.08006978
1,0,0,0,0,1,0,1,1,1,0,0,1,0.535714286,0.079858541
1,0,0,0,0,1,0,1,1,1,0,1,0,0.535714286,0.080192327
1,0,0,0,0,1,0,1,1,1,0,1,1,0.535714286,0.080493689
1,0,0,0,0,1,0,1,1,1,1,0,0,0.535714286,0.076975822
1,0,0,0,0,1,0,1,1,1,1,0,1,0.535714286,0.078079224
1,0,0,0,0,1,0,1,1,1,1,1,0,0.535714286,0.077953339
1,0,0,0,0,1,0,1,1,1,1,1,1,0.535714286,0.077425003
