twoPass,quality,bestQuality,goodQuality,rtQuality,constantBitrate,autoAltRef,noAltRef,allowResize,Threads,TokenParts,ArnrMaxFrames,ArnrStrength,<$performance,<$cpu
0,1,0,0,1,0,0,0,0,1,0,0,0,8190.6,29.555556
0,1,0,0,1,0,0,0,0,2,0,0,0,6502.4,38.810952
0,1,0,0,1,0,0,0,0,3,0,0,0,5856.2,41.778
0,1,0,0,1,0,0,0,0,4,0,0,0,5661.0,42.725333
0,1,0,0,1,0,0,0,0,1,1,0,0,8250.6,30.599444
0,1,0,0,1,0,0,0,0,2,1,0,0,6592.6,38.687143
0,1,0,0,1,0,0,0,0,3,1,0,0,5863.0,45.326667
0,1,0,0,1,0,0,0,0,4,1,0,0,5409.0,42.23
0,1,0,0,1,0,0,0,0,1,2,0,0,8265.8,29.898333
0,1,0,0,1,0,0,0,0,2,2,0,0,6649.2,38.860476
0,1,0,0,1,0,0,0,0,3,2,0,0,5948.8,44.006762
0,1,0,0,1,0,0,0,0,4,2,0,0,5656.6,45.346
0,1,0,0,1,0,0,0,0,1,0,5,0,8290.2,30.040278
0,1,0,0,1,0,0,0,0,2,0,5,0,6439.6,39.874286
0,1,0,0,1,0,0,0,0,3,0,5,0,5871.6,45.263334
0,1,0,0,1,0,0,0,0,4,0,5,0,5569.0,46.604
0,1,0,0,1,0,0,0,0,1,1,5,0,8330.8,31.014722
0,1,0,0,1,0,0,0,0,2,1,5,0,6501.4,38.538571
0,1,0,0,1,0,0,0,0,3,1,5,0,5848.2,42.215333
0,1,0,0,1,0,0,0,0,4,1,5,0,5589.2,47.823333
0,1,0,0,1,0,0,0,0,1,2,5,0,8219.8,27.4425
0,1,0,0,1,0,0,0,0,2,2,5,0,6419.0,37.072857
0,1,0,0,1,0,0,0,0,3,2,5,0,6111.4,45.149047
0,1,0,0,1,0,0,0,0,4,2,5,0,5640.0,43.708
0,1,0,0,1,0,0,0,0,1,0,15,0,8216.8,30.175278
0,1,0,0,1,0,0,0,0,2,0,15,0,6447.8,40.30381
0,1,0,0,1,0,0,0,0,3,0,15,0,5960.0,46.035238
0,1,0,0,1,0,0,0,0,4,0,15,0,5626.0,47.797333
0,1,0,0,1,0,0,0,0,1,1,15,0,8375.4,30.359167
0,1,0,0,1,0,0,0,0,2,1,15,0,6255.0,37.885714
0,1,0,0,1,0,0,0,0,3,1,15,0,5969.6,44.51
0,1,0,0,1,0,0,0,0,4,1,15,0,5690.8,47.523333
0,1,0,0,1,0,0,0,0,1,2,15,0,8131.0,28.719722
0,1,0,0,1,0,0,0,0,2,2,15,0,6454.4,37.897619
0,1,0,0,1,0,0,0,0,3,2,15,0,5781.0,39.479333
0,1,0,0,1,0,0,0,0,4,2,15,0,5526.6,42.888
0,1,0,0,1,0,0,0,0,1,0,0,3,8303.8,28.346667
0,1,0,0,1,0,0,0,0,2,0,0,3,6471.6,36.636667
0,1,0,0,1,0,0,0,0,3,0,0,3,5881.2,45.039333
0,1,0,0,1,0,0,0,0,4,0,0,3,5631.2,48.195333
0,1,0,0,1,0,0,0,0,1,1,0,3,8056.6,29.971111
0,1,0,0,1,0,0,0,0,2,1,0,3,6504.2,37.962381
0,1,0,0,1,0,0,0,0,3,1,0,3,5717.2,43.668667
0,1,0,0,1,0,0,0,0,4,1,0,3,5547.4,45.610667
0,1,0,0,1,0,0,0,0,1,2,0,3,8258.2,30.566667
0,1,0,0,1,0,0,0,0,2,2,0,3,6487.8,40.742857
