Topology.workers,Component.bolt_num,Topology.acker.executors,Message.size,Component.spout_num,Topology.serialized.message.size.metrics,Topology.max.spout.pending,Storm.messaging.netty.min_wait_ms,Topology.transfer.buffer.size,Storm.messaging.netty.max_wait_ms,Topology.level,opology.priority,<$throughput,<$latency
2,10,4,10,10,0,1,1000,512,10000,5,0,0,0
2,10,2,10,1,1,1000,1000,512,10000,5,0,nan,nan
4,1,2,1000000,1,0,1000,1000,1024,10000,5,0,nan,nan
2,10,4,1000000,10,1,1000,1000,1024,10000,2,0,0,0
4,10,4,1000000,1,1,1000,10,1024,100,5,29,0,65.4
4,1,4,10,1,0,1,1000,1024,10000,2,29,nan,nan
2,1,4,10,1,1,1000,1000,1024,10000,5,0,nan,nan
4,10,2,1000000,10,0,1,1000,1024,10000,2,29,1077.428571,1.428571429
4,10,2,10,1,1,1,1000,512,10000,5,0,nan,nan
4,1,2,1000000,10,0,1000,10,1024,100,2,0,2122.166667,597.5666667
2,1,2,10,1,1,1000,1000,1024,10000,2,0,nan,nan
2,10,4,1000000,1,0,1000,1000,512,10000,2,0,nan,nan
2,1,2,1000000,1,1,1,1000,1024,10000,5,0,nan,nan
2,1,2,10,10,1,1000,10,1024,100,2,29,11659.33333,715.5666667
4,1,2,1000000,1,0,1,1000,1024,10000,2,0,0,1.7
4,10,2,10,10,1,1000,10,1024,100,2,29,6295.428571,1832.442857
4,1,4,10,1,1,1,10,1024,100,2,29,nan,nan
4,1,2,1000000,10,0,1000,1000,512,10000,5,29,2100,555.85
4,1,2,1000000,10,0,1,1000,512,10000,2,29,nan,nan
4,10,2,10,1,1,1,10,1024,100,2,0,nan,nan
4,10,4,10,1,0,1,1000,1024,10000,5,29,nan,nan
2,1,2,1000000,10,1,1,1000,512,10000,5,0,0,0
2,1,2,10,10,0,1,10,512,100,2,0,nan,nan
4,1,2,10,1,0,1000,1000,512,10000,2,29,nan,nan
4,1,2,1000000,10,0,1,10,1024,100,5,0,0,2.7
2,1,2,1000000,10,1,1000,10,1024,100,2,0,nan,nan
4,10,4,1000000,1,0,1000,10,512,100,5,0,0,179.9
2,1,2,1000000,10,0,1000,10,1024,100,5,29,nan,nan
2,1,2,1000000,1,0,1000,10,1024,100,2,0,nan,nan
4,1,4,10,10,0,1,1000,512,10000,2,0,nan,nan
2,1,2,10,10,1,1,1000,512,10000,5,0,0,0
4,1,4,1000000,10,1,1000,1000,512,10000,2,0,nan,nan
2,10,2,1000000,1,1,1000,10,512,100,5,0,nan,nan
2,1,4,1000000,1,1,1,1000,512,10000,2,29,nan,nan
4,10,2,1000000,1,0,1,10,1024,100,5,0,nan,nan
4,10,2,1000000,1,0,1,1000,1024,10000,2,0,nan,nan
2,1,4,1000000,1,1,1000,10,512,100,5,29,0,20.8
2,1,4,1000000,10,0,1000,10,512,100,5,29,nan,nan
4,1,2,1000000,10,1,1000,10,512,100,5,0,nan,nan
2,1,2,10,10,1,1,10,1024,100,5,0,0,2.1
2,1,4,10,10,0,1000,10,512,100,2,29,12117,698.975
4,10,2,1000000,1,1,1000,10,1024,100,5,0,0,127.9
2,1,2,10,1,0,1000,10,512,100,5,29,nan,nan
4,10,4,1000000,10,0,1,10,1024,100,5,0,0,215.7
4,10,4,1000000,1,0,1,10,1024,100,2,29,nan,nan
2,1,4,10,1,0,1000,10,512,100,2,29,nan,nan
2,1,4,10,1,1,1000,10,1024,100,2,29,0,10
4,10,2,1000000,10,0,1000,1000,1024,10000,2,29,1579,562.925
2,10,2,1000000,10,0,1000,1000,512,10000,2,29,nan,nan
2,1,4,10,10,0,1,10,1024,100,5,0,0,1.5
2,1,4,1000000,1,1,1000,1000,1024,10000,5,0,nan,nan
2,1,4,10,10,1,1,1000,1024,10000,5,0,nan,nan
2,1,4,10,1,0,1000,1000,512,10000,2,0,nan,nan
4,10,4,1000000,10,0,1000,1000,1024,10000,5,29,0,0
4,10,4,1000000,10,1,1000,10,1024,100,5,0,nan,nan
2,10,2,1000000,1,1,1,10,512,100,5,0,nan,nan
4,10,4,10,1,0,1000,1000,1024,10000,2,29,nan,nan
4,1,2,1000000,1,1,1000,1000,1024,10000,2,0,nan,nan
2,1,2,1000000,1,1,1,10,1024,100,2,0,nan,nan
2,1,4,10,10,0,1,1000,512,10000,2,29,nan,nan
2,1,4,1000000,10,0,1,1000,512,10000,2,29,0,0
4,10,2,10,1,0,1000,1000,1024,10000,2,0,4720,59
2,1,2,10,1,1,1000,1000,1024,10000,5,0,nan,nan
2,10,4,1000000,10,1,1000,1000,512,10000,5,29,nan,nan
4,10,2,1000000,10,1,1000,10,512,100,2,29,nan,nan
2,10,4,1000000,10,0,1000,1000,1024,10000,2,29,0,0
2,10,4,1000000,10,0,1000,10,512,100,5,29,nan,nan
4,10,4,1000000,1,0,1000,1000,1024,10000,2,29,5563,27.9
2,10,4,10,10,1,1000,1000,1024,10000,5,29,0,930.9
2,10,2,10,1,0,1,10,1024,100,5,0,nan,nan
4,10,4,1000000,10,0,1,1000,512,10000,5,0,0,293.8
2,1,2,1000000,10,0,1,1000,1024,10000,5,0,0,0
4,10,2,10,1,0,1,10,512,100,5,0,nan,nan
4,10,2,10,1,0,1000,10,1024,100,2,0,0,103.7
